"","countyname","county_fips","state_abbv","state_fips","county_name","fips_class","state_name","county","population","growthSince2010","date","state","fips","cases","deaths","areaSqMi","PopDen","CasesPer10K","CasesByDensity"
"1","Adams","42001","PA","42","Adams County","H1","Pennsylvania","Adams",102811,1.3186,"2020-03-30","Pennsylvania",42001,8,8,518.67,198.220448454701,0.778126854130395,0.0403591055431812
"2","Allegheny","42003","PA","42","Allegheny County","H1","Pennsylvania","Allegheny",1218452,-0.4508,"2020-03-30","Pennsylvania",42003,290,290,730.08,1668.92943239097,2.38006913690486,0.17376408754715
"3","Armstrong","42005","PA","42","Armstrong County","H1","Pennsylvania","Armstrong",65263,-5.2305,"2020-03-30","Pennsylvania",42005,3,3,653.2,99.9127372933252,0.459678531480318,0.0300262016762944
"4","Beaver","42007","PA","42","Beaver County","H1","Pennsylvania","Beaver",164742,-3.4598,"2020-03-30","Pennsylvania",42007,44,44,434.71,378.969887971291,2.67084289373687,0.116104211433636
"5","Bedford","42009","PA","42","Bedford County","H1","Pennsylvania","Bedford",48176,-3.0391,NA,NA,NA,0,0,1012.3,47.5906351871975,0,0
"6","Berks","42011","PA","42","Berks County","H1","Pennsylvania","Berks",420152,1.9725,"2020-03-30","Pennsylvania",42011,82,82,856.51,490.539515008581,1.95167463203793,0.167162883908681
"7","Blair","42013","PA","42","Blair County","H1","Pennsylvania","Blair",122492,-3.5823,"2020-03-30","Pennsylvania",42013,6,6,525.8,232.963103841765,0.489827907128629,0.0257551513568233
"8","Bradford","42015","PA","42","Bradford County","H1","Pennsylvania","Bradford",60833,-3.0333,"2020-03-30","Pennsylvania",42015,3,3,1147.4,53.0181279414328,0.493153387141847,0.0565844196406556
"9","Bucks","42017","PA","42","Bucks County","H1","Pennsylvania","Bucks",628195,0.4461,"2020-03-30","Pennsylvania",42017,249,249,604.31,1039.52441627641,3.96373737454134,0.239532613280908
"10","Butler","42019","PA","42","Butler County","H1","Pennsylvania","Butler",187888,2.062,"2020-03-30","Pennsylvania",42019,49,49,788.6,238.25513568349,2.60793664310653,0.205661883675381
"11","Cambria","42021","PA","42","Cambria County","H1","Pennsylvania","Cambria",131730,-8.1701,"2020-03-30","Pennsylvania",42021,2,2,688.35,191.370668991066,0.151825704091703,0.0104509223411524
"12","Cameron","42023","PA","42","Cameron County","H1","Pennsylvania","Cameron",4492,-11.6096,"2020-03-30","Pennsylvania",42023,1,1,396.23,11.3368498094541,2.22617987533393,0.0882079252003562
"13","Carbon","42025","PA","42","Carbon County","H1","Pennsylvania","Carbon",64227,-1.5754,"2020-03-30","Pennsylvania",42025,13,13,381.46,168.371519949667,2.02407087362013,0.0772102075451134
"14","Centre","42027","PA","42","Centre County","H1","Pennsylvania","Centre",162805,5.5681,"2020-03-30","Pennsylvania",42027,24,24,1109.92,146.681742828312,1.47415619913393,0.163619544854274
"15","Chester","42029","PA","42","Chester County","H1","Pennsylvania","Chester",522046,4.4251,"2020-03-30","Pennsylvania",42029,146,146,750.51,695.588333266712,2.79668841443091,0.209894262191454
"16","Clarion","42031","PA","42","Clarion County","H1","Pennsylvania","Clarion",38779,-2.885,"2020-03-30","Pennsylvania",42031,1,1,600.83,64.5423830367991,0.257871528404549,0.0154936950411305
"17","Clearfield","42033","PA","42","Clearfield County","H1","Pennsylvania","Clearfield",79388,-2.6547,"2020-03-30","Pennsylvania",42033,4,4,1144.72,69.3514571248864,0.503854486824205,0.0576772308157404
"18","Clinton","42035","PA","42","Clinton County","H1","Pennsylvania","Clinton",38684,-1.442,NA,NA,NA,0,0,887.98,43.5640442352305,0,0
"19","Columbia","42037","PA","42","Columbia County","H1","Pennsylvania","Columbia",65456,-2.8266,"2020-03-30","Pennsylvania",42037,6,6,483.11,135.488812071785,0.916646296748961,0.0442840992422391
"20","Crawford","42039","PA","42","Crawford County","H1","Pennsylvania","Crawford",85063,-4.0062,"2020-03-30","Pennsylvania",42039,4,4,1012.3,84.029437913662,0.470239704689465,0.0476023653057146
"21","Cumberland","42041","PA","42","Cumberland County","H1","Pennsylvania","Cumberland",251423,6.5794,"2020-03-30","Pennsylvania",42041,24,24,545.46,460.937557291094,0.954566606873675,0.0520677901385315
"22","Dauphin","42043","PA","42","Dauphin County","H1","Pennsylvania","Dauphin",277097,3.2896,"2020-03-30","Pennsylvania",42043,36,36,525.05,527.753547281211,1.29918404024583,0.0682136580331075
"23","Delaware","42045","PA","42","Delaware County","H1","Pennsylvania","Delaware",564751,1.0321,"2020-03-30","Pennsylvania",42045,303,303,183.84,3071.97019147084,5.36519634316717,0.0986337695727852
"24","Elk","42047","PA","42","Elk County","H1","Pennsylvania","Elk",30169,-5.3106,NA,NA,NA,0,0,827.36,36.4641752078902,0,0
"25","Erie","42049","PA","42","Erie County","H1","Pennsylvania","Erie",272061,-3.1111,"2020-03-30","Pennsylvania",42049,13,13,799.15,340.437965338172,0.477834015165717,0.0381861053219682
"26","Fayette","42051","PA","42","Fayette County","H1","Pennsylvania","Fayette",130441,-4.3954,"2020-03-30","Pennsylvania",42051,11,11,790.34,165.04415821039,0.8432931363605,0.0666488297391158
"27","Forest","42053","PA","42","Forest County","H1","Pennsylvania","Forest",7279,-5.5534,NA,NA,NA,0,0,427.19,17.039256536904,0,0
"28","Franklin","42055","PA","42","Franklin County","H1","Pennsylvania","Franklin",154835,3.2819,"2020-03-30","Pennsylvania",42055,12,12,772.22,200.506332392323,0.775018568153195,0.059848483869926
"29","Fulton","42057","PA","42","Fulton County","H1","Pennsylvania","Fulton",14523,-2.281,NA,NA,NA,0,0,437.55,33.1916352416867,0,0
"30","Greene","42059","PA","42","Greene County","H1","Pennsylvania","Greene",36506,-5.4543,"2020-03-30","Pennsylvania",42059,7,7,575.95,63.3839743033249,1.91749301484687,0.110438010190106
"31","Huntingdon","42061","PA","42","Huntingdon County","H1","Pennsylvania","Huntingdon",45168,-1.8151,"2020-03-30","Pennsylvania",42061,1,1,874.64,51.6418183481204,0.221395678356358,0.0193641516117605
"32","Indiana","42063","PA","42","Indiana County","H1","Pennsylvania","Indiana",84501,-4.9108,"2020-03-30","Pennsylvania",42063,2,2,827.03,102.174044472389,0.236683589543319,0.0195744429060011
"33","Jefferson","42065","PA","42","Jefferson County","H1","Pennsylvania","Jefferson",43641,-3.3679,NA,NA,NA,0,0,652.43,66.8899345523658,0,0
"34","Juniata","42067","PA","42","Juniata County","H1","Pennsylvania","Juniata",24704,0.3208,"2020-03-30","Pennsylvania",42067,3,3,391.35,63.1250798517951,1.21437823834197,0.047524692357513
"35","Lackawanna","42069","PA","42","Lackawanna County","H1","Pennsylvania","Lackawanna",210793,-1.741,"2020-03-30","Pennsylvania",42069,62,62,459.08,459.163980134181,2.94127414098191,0.135028013264198
"36","Lancaster","42071","PA","42","Lancaster County","H1","Pennsylvania","Lancaster",543557,4.4655,"2020-03-30","Pennsylvania",42071,97,97,943.81,575.917822443076,1.78454145563391,0.168426807124184
"37","Lawrence","42073","PA","42","Lawrence County","H1","Pennsylvania","Lawrence",86184,-5.2954,"2020-03-30","Pennsylvania",42073,10,10,358.18,240.616449829695,1.16030817785204,0.0415599183143043
"38","Lebanon","42075","PA","42","Lebanon County","H1","Pennsylvania","Lebanon",141314,5.7399,"2020-03-30","Pennsylvania",42075,27,27,361.83,390.553574883232,1.91063871944747,0.0691326407857679
