caseid,ClintonTherm,RConserv,ClintonConserv,PID,GOP
1001,40,4,2,3,0
1002,85,4,3,3,0
1004,85,4,2,1,0
1005,30,4,1,3,0
1007,15,7,2,2,1
1009,85,4,6,3,0
1010,15,7,1,2,1
1011,60,5,2,3,0
1012,70,4,4,5,0
1013,90,6,4,1,0
1014,70,5,4,3,0
1015,15,6,2,2,1
1016,70,6,4,1,0
1017,85,2,3,1,0
1018,70,6,3,2,1
1020,85,2,4,5,0
1021,70,5,2,2,1
1023,70,3,3,2,1
1024,40,6,4,3,0
1025,85,2,4,1,0
1026,100,4,4,1,0
1027,15,6,1,2,1
1028,100,4,1,1,0
1029,100,2,4,1,0
1030,100,6,3,1,0
1031,60,6,1,3,0
1032,85,3,4,1,0
1033,85,3,3,1,0
1034,85,3,4,1,0
1035,60,4,2,3,0
1036,60,5,2,3,0
1037,60,5,3,3,0
1038,60,4,4,3,0
1039,100,5,5,1,0
1040,70,5,3,2,1
1041,35,6,2,2,1
1042,60,5,2,1,0
1043,60,6,6,5,0
1045,60,5,5,1,0
1046,5,2,2,1,0
1047,70,3,3,3,0
1048,70,3,2,3,0
1049,60,4,2,3,0
1050,60,2,4,1,0
1052,0,6,2,2,1
1053,50,4,2,2,1
1055,0,6,1,2,1
1056,0,7,1,2,1
1057,15,5,2,2,1
1058,70,4,4,1,0
1061,50,4,2,3,0
1062,85,4,2,3,0
1063,70,4,3,3,0
1064,5,6,1,2,1
1065,70,5,4,1,0
1066,60,5,4,4,0
1069,100,3,3,1,0
1072,70,5,3,1,0
1073,60,4,3,3,0
1075,85,4,5,3,0
1076,40,6,2,2,1
1077,100,2,3,1,0
1079,15,7,1,3,0
1080,85,4,2,3,0
1081,85,3,2,1,0
1082,70,5,5,1,0
1083,85,3,2,1,0
1084,70,4,4,3,0
1085,60,5,4,5,0
1086,100,2,3,1,0
1087,60,7,2,3,0
1088,30,5,1,2,1
1090,85,2,3,3,0
1092,0,6,1,2,1
1095,70,5,2,3,0
1096,60,5,3,2,1
1097,85,3,2,1,0
1099,10,4,3,3,0
1100,70,2,3,1,0
1101,85,6,4,2,1
1102,30,5,3,5,0
1107,85,6,3,1,0
1108,85,4,2,1,0
1109,85,5,2,3,0
1110,85,4,4,3,0
