caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT,candid,vote,FT,clintondummy,perotdummy,PIDxClinton,PIDxPerot,partisan,bushdummy,PIDxBush,votehat,altvotehat
3001,1,6,31,20,0,1,85,30,0,1,1,85,0,0,0,0,major,1,6,.98463988,.99529278
3001,1,6,31,20,0,1,85,30,0,2,0,30,1,0,6,0,major,0,0,.01158217,.71323109
3001,1,6,31,20,0,1,85,30,0,3,0,0,0,1,0,6,minor,0,0,.0037779321,.44789946
3002,1,7,89,9,1,1,100,0,0,1,1,100,0,0,0,0,major,1,7,.99840432,.99816477
3002,1,7,89,9,1,1,100,0,0,2,0,0,1,0,7,0,major,0,0,.00036679182,.16653742
3002,1,7,89,9,1,1,100,0,0,3,0,0,0,1,0,7,minor,0,0,.0012289118,.40100512
3003,1,7,35,17,1,1,85,30,60,1,1,85,0,0,0,0,major,1,7,.87345374,.99529278
3003,1,7,35,17,1,1,85,30,60,2,0,30,1,0,7,0,major,0,0,.0054617743,.56936389
3003,1,7,35,17,1,1,85,30,60,3,0,60,0,1,0,7,minor,0,0,.1210845,.96700895
3005,2,6,27,3,1,0,40,60,60,1,0,40,0,0,0,0,major,1,6,.19289663,.92549759
3005,2,6,27,3,1,0,40,60,60,2,1,60,1,0,6,0,major,0,0,.25554746,.94271654
3005,2,6,27,3,1,0,40,60,60,3,0,60,0,1,0,6,minor,0,0,.55155593,.97261757
3006,2,2,54,15,1,1,30,70,50,1,0,30,0,0,0,0,major,1,2,.015235812,.86871278
3006,2,2,54,15,1,1,30,70,50,2,1,70,1,0,2,0,major,0,0,.89081937,.99742192
3006,2,2,54,15,1,1,30,70,50,3,0,50,0,1,0,2,minor,0,0,.09394481,.9760766
3007,2,1,45,2,1,0,15,70,50,1,0,15,0,0,0,0,major,1,1,.003298756,.72007072
3007,2,1,45,2,1,0,15,70,50,2,1,70,1,0,1,0,major,0,0,.9332968,.99862784
3007,2,1,45,2,1,0,15,70,50,3,0,50,0,1,0,1,minor,0,0,.063404463,.98017526
3009,1,6,35,17,1,1,85,30,0,1,1,85,0,0,0,0,major,1,6,.98463988,.99529278
3009,1,6,35,17,1,1,85,30,0,2,0,30,1,0,6,0,major,0,0,.01158217,.71323109
3009,1,6,35,17,1,1,85,30,0,3,0,0,0,1,0,6,minor,0,0,.0037779321,.44789946
3011,1,7,33,23,0,1,85,0,0,1,1,85,0,0,0,0,major,1,7,.99590558,.99529278
3011,1,7,33,23,0,1,85,0,0,2,0,0,1,0,7,0,major,0,0,.00094114873,.16653742
3011,1,7,33,23,0,1,85,0,0,3,0,0,0,1,0,7,minor,0,0,.0031532566,.40100512
3012,1,6,32,20,1,1,60,30,30,1,1,60,0,0,0,0,major,1,6,.84788108,.97767019
3012,1,6,32,20,1,1,60,30,30,2,0,30,1,0,6,0,major,0,0,.048164338,.71323109
3012,1,6,32,20,1,1,60,30,30,3,0,30,0,1,0,6,minor,0,0,.10395457,.8429659
3013,1,5,69,24,0,1,70,0,15,1,1,70,0,0,0,0,major,1,5,.96212339,.98798043
3013,1,5,69,24,0,1,70,0,15,2,0,0,1,0,5,0,major,0,0,.0082762772,.41420129
3013,1,5,69,24,0,1,70,0,15,3,0,15,0,1,0,5,minor,0,0,.029600348,.71662241
3014,2,1,67,3,1,0,40,85,60,1,0,40,0,0,0,0,major,1,1,.0062824385,.92549759
3014,2,1,67,3,1,0,40,85,60,2,1,85,1,0,1,0,major,0,0,.94677454,.99946612
3014,2,1,67,3,1,0,40,85,60,3,0,60,0,1,0,1,minor,0,0,.046943016,.98934144
3016,1,7,83,19,1,1,85,50,40,1,1,85,0,0,0,0,major,1,7,.94217741,.99529278
3016,1,7,83,19,1,1,85,50,40,2,0,50,1,0,7,0,major,0,0,.020764861,.82332027
3016,1,7,83,19,1,1,85,50,40,3,0,40,0,1,0,7,minor,0,0,.037057731,.89266163
3017,1,2,62,3,1,1,70,30,30,1,1,70,0,0,0,0,major,1,2,.65801501,.98798043
