name,state,district,votesum,pctbl96,unionpct,clint96,GOPmember,ADA98
young,AK,1,4,18,.095924929,58,1,20
callahan,AL,1,4,29,.13260095,39,1,0
everett,AL,2,4,24,.13552625,37,1,5
riley,AL,3,4,26,.1617807,44,1,5
aderholt,AL,4,4,7,.15879434,43,1,10
cramer,AL,5,0,15,.11129876,43,0,65
bachus,AL,6,4,9,.12375338,27,1,5
hilliard,AL,7,0,67,.12627809,72,0,100
berry,AR,1,0,4,.23841441,33,0,70
snyder,AR,2,0,18,.11367878,55,0,85
hutchinson,AR,3,4,2,.07594005,44,1,5
dickey,AR,4,2,27,.092305265,60,1,5
salmon,AZ,1,4,3,.069536671,45,1,5
pastor,AZ,2,0,7,.071660765,63,0,100
stump,AZ,3,4,2,.073433287,41,1,0
shadegg,AZ,4,3,2,.069536671,44,1,0
kolbe,AZ,5,3,3,.076313801,47,1,15
hayworth,AZ,6,4,1,.073747367,47,1,0
riggs,CA,1,3,4,.21017213,48,1,10
herger,CA,2,4,1,.21556041,36,1,0
fazio,CA,3,0,3,.21902359,45,0,100
doolittle,CA,4,4,2,.2180607,38,1,5
matsui,CA,5,0,13,.21705292,57,0,95
woolsey,CA,6,0,2,.18934375,57,0,100
pelosi,CA,8,0,13,.23433754,66,0,95
lee,CA,9,0,32,.23908426,75,0,75
tauscher,CA,10,0,2,.23908426,48,0,75
pombo,CA,11,4,6,.22399822,46,1,10
lantos,CA,12,0,4,.23433752,70,0,100
stark,CA,13,0,7,.18556483,62,0,90
eshoo,CA,14,0,5,.16843684,58,0,90
campbell,CA,15,2,6,.14139904,53,1,35
lofgren,CA,16,0,5,.13985026,61,0,95
farr,CA,17,0,4,.1791541,55,0,100
condit,CA,18,0,3,.2465277,46,0,60
radanovich,CA,19,4,3,.18167773,40,1,0
dooley,CA,20,0,6,.18376866,52,0,85
thomas,CA,21,4,4,.16166437,34,1,0
capps,CA,22,0,3,.1652194,44,0,85
gallegly,CA,23,4,3,.15147176,45,1,15
sherman,CA,24,0,2,.17729627,52,0,95
mckeon,CA,25,4,5,.17825198,41,1,5
berman,CA,26,0,6,.17825198,65,0,90
rogan,CA,27,4,8,.17825198,49,1,0
dreier,CA,28,4,6,.17825198,45,1,0
waxman,CA,29,0,3,.17825198,66,0,100
becerra,CA,30,0,3,.17825198,71,0,90
martinez,CA,31,0,2,.17825198,65,0,75
dixon,CA,32,0,40,.17825198,81,0,100
roybal-allard,CA,33,0,4,.17825198,80,0,100
torres,CA,34,0,2,.17825198,64,0,90
waters,CA,35,0,43,.17825198,84,0,80
harman,CA,36,0,3,.17825198,47,0,80
millender-mcdonald,CA,37,0,34,.17825198,81,0,95
horn,CA,38,4,8,.17825198,53,1,20
royce,CA,39,4,3,.16825315,48,1,5
lewis,CA,40,4,5,.22781506,49,1,10
kim,CA,41,1,7,.17490743,43,1,15
brown,CA,42,0,11,.185087,53,0,100
calvert,CA,43,4,6,.22779761,43,1,0
bono,CA,44,4,5,.22779761,44,1,0
rohrabacher,CA,45,4,1,.13148937,38,1,5
sanchez,CA,46,0,2,.13148937,49,0,95
cox,CA,47,4,2,.13148937,36,1,0
packard,CA,48,4,4,.15737732,34,1,5
bilbray,CA,49,3,5,.14936437,49,1,20
filner,CA,50,0,14,.14936437,60,0,100
cunningham,CA,51,4,2,.14936437,38,1,0
hunter,CA,52,4,3,.15270995,41,1,5
degette,CO,1,0,13,.11488804,61,0,95
skaggs,CO,2,0,1,.10732278,49,0,85
mcinnis,CO,3,3,1,.11200105,43,1,5
schaffer,CO,4,4,1,.10362083,41,1,5
hefley,CO,5,3,6,.097937807,33,1,0
schaefer,CO,6,4,3,.11488804,43,1,0
kennelly,CT,1,0,14,.17276511,59,0,85
gejdenson,CT,2,0,4,.19988963,53,0,100
delauro,CT,3,0,12,.18542543,57,0,100
shays,CT,4,0,13,.15994889,51,1,45
maloney,CT,5,0,5,.18653637,48,0,85
johnson,CT,6,2,2,.18340783,50,1,55
castle,DE,1,1,17,.19701895,52,1,30
scarborough,FL,1,2,13,.082372367,31,1,10
boyd,FL,2,0,23,.066559002,47,0,65
brown,FL,3,0,55,.081366189,58,0,95
fowler,FL,4,4,6,.095943764,36,1,5
thurman,FL,5,0,6,.065160006,50,0,100
stearns,FL,6,4,7,.098262757,39,1,5
mica,FL,7,4,4,.067253239,43,1,10
mccollum,FL,8,4,5,.071662262,44,1,5
bilirakis,FL,9,4,3,.068168439,44,1,5
young,FL,10,4,9,.068168439,51,1,0
davis,FL,11,0,17,.068168439,52,0,85
canady,FL,12,4,13,.074147202,43,1,5
miller,FL,13,4,5,.068568476,43,1,10
goss,FL,14,3,6,.060929071,38,1,5
weldon,FL,15,4,8,.090189002,41,1,0
foley,FL,16,2,4,.071844339,47,1,20
meek,FL,17,0,59,.090801008,85,0,95
ros-lehtinen,FL,18,4,4,.090801008,43,1,15
wexler,FL,19,0,3,.083904266,65,0,100
deutsch,FL,20,0,4,.091193147,59,0,95
diaz-balart,FL,21,4,4,.090801008,45,1,25
shaw,FL,22,2,3,.087197982,54,1,10
hastings,FL,23,0,52,.08627291,74,0,80
kingston,GA,1,4,30.6,.072072133,45,1,0
bishop,GA,2,0,39.200001,.080760524,49,0,70
collins,GA,3,4,24.700001,.086990587,42,1,0
mckinney,GA,4,0,36.599998,.086880095,64,0,100
lewis,GA,5,0,62,.086880095,74,0,90
gingrich,GA,6,4,6,.086880095,33,1,5
barr,GA,7,4,13,.078069843,40,1,5
chambliss,GA,8,4,31.1,.075101219,47,1,0
deal,GA,9,4,4,.083277076,35,1,10
norwood,GA,10,4,37.5,.078857198,48,1,5
linder,GA,11,4,11.8,.081922941,37,1,0
abercrombie,HI,1,0,2,.373299,57,0,95
mink,HI,2,0,2,.373299,57,0,95
leach,IA,1,2,3,.1619748,54,1,45
nussle,IA,2,4,2,.14428824,53,1,10
boswell,IA,3,0,1,.13510451,50,0,65
ganske,IA,4,3,3,.14214689,49,1,5
latham,IA,5,3,1,.13674481,44,1,0
chenowith,ID,1,4,0,.098356247,35,1,20
crapo,ID,2,4,0,.10052396,32,1,10
rush,IL,1,0,70,.21491531,85,0,95
jackson,IL,2,0,68,.21491531,85,0,100
lipinski,IL,3,0,2,.21491531,53,0,45
gutierrez,IL,4,0,6,.21491531,80,0,90
blagojevich,IL,5,0,1,.21491531,63,0,100
hyde,IL,6,4,1,.21491531,42,1,0
davis,IL,7,0,66,.21491531,82,0,95
