cabbr,ccode,year,AidPC,logPop,logGDP,POLITY,transition,civilwar,RefsDummy
USA,2,1964,,19.072428,9.6016655,10,0,0,0
USA,2,1965,,19.084929,9.6436462,10,0,0,1
USA,2,1966,,19.096478,9.6898756,10,0,0,0
USA,2,1967,,19.107367,9.7058525,10,0,0,0
USA,2,1968,,19.117352,9.7369366,10,0,0,1
USA,2,1969,,19.127125,9.7535009,10,0,0,1
USA,2,1970,,19.138775,9.7440147,10,0,0,0
USA,2,1971,,19.151417,9.7597256,10,0,0,0
USA,2,1972,,19.162123,9.8018742,10,0,0,0
USA,2,1973,,19.171667,9.8484364,10,0,0,0
USA,2,1974,,19.180803,9.8333912,10,0,0,0
USA,2,1975,,19.190664,9.8199587,10,0,0,0
USA,2,1976,,19.200167,9.8645906,10,0,0,0
USA,2,1977,,19.210224,9.8998938,10,0,0,1
USA,2,1978,,19.220819,9.9429703,10,0,0,1
USA,2,1979,,19.231855,9.9632635,10,0,0,0
USA,2,1980,,19.241451,9.9513855,10,0,0,0
USA,2,1981,,19.251265,9.9657736,10,0,0,1
USA,2,1982,,19.260799,9.9358168,10,0,0,1
USA,2,1983,,19.269943,9.9690571,10,0,0,1
USA,2,1984,,19.278601,10.030493,10,0,0,0
USA,2,1985,,19.287462,10.059397,10,0,0,0
USA,2,1986,,19.296703,10.083772,10,0,0,0
USA,2,1987,,19.305641,10.108248,10,0,0,0
USA,2,1988,,19.314722,10.140037,10,0,0,1
USA,2,1989,,19.324165,10.165083,10,0,0,1
USA,2,1990,,19.334728,10.171982,10,0,0,1
USA,2,1991,,19.345755,10.156242,10,0,0,1
USA,2,1992,,19.357243,10.17481,10,0,0,1
USA,2,1993,,19.369194,10.18906,10,0,0,1
USA,2,1994,,19.381609,10.2162,10,0,0,1
USA,2,1995,,19.394485,10.229656,10,0,0,1
CAN,20,1964,,16.776911,,10,0,0,0
CAN,20,1965,,16.795012,9.2897091,10,0,0,0
CAN,20,1966,,16.813641,9.3348532,10,0,0,1
CAN,20,1967,,16.831633,9.3455992,10,0,0,0
CAN,20,1968,,16.847767,9.3810616,10,0,0,1
CAN,20,1969,,16.861366,9.4187269,10,0,0,1
CAN,20,1970,,16.875343,9.4302559,10,0,0,0
CAN,20,1971,,16.89031,9.4694834,10,0,0,0
CAN,20,1972,,16.906263,9.505024,10,0,0,1
CAN,20,1973,,16.923204,9.5572376,10,0,0,0
CAN,20,1974,,16.941133,9.5793781,10,0,0,0
CAN,20,1975,,16.960051,9.5827427,10,0,0,1
CAN,20,1976,,16.973276,9.6228199,10,0,0,1
CAN,20,1977,,16.985027,9.6441336,10,0,0,1
CAN,20,1978,,16.995064,9.6737671,10,0,0,1
CAN,20,1979,,17.005039,9.7045097,10,0,0,1
CAN,20,1980,,17.017973,9.7048721,10,0,0,1
CAN,20,1981,,17.030378,9.7230444,10,0,0,1
CAN,20,1982,,17.042435,9.6800852,10,0,0,1
CAN,20,1983,,17.052462,9.6986675,10,0,0,1
CAN,20,1984,,17.062078,9.7448034,10,0,0,0
CAN,20,1985,,17.071373,9.7881508,10,0,0,0
CAN,20,1986,,17.081423,9.8039465,10,0,0,1
CAN,20,1987,,17.09454,9.8307734,10,0,0,1
CAN,20,1988,,17.10745,9.8653049,10,0,0,1
CAN,20,1989,,17.125286,9.8714132,10,0,0,1
CAN,20,1990,,17.140223,9.8589716,10,0,0,1
CAN,20,1991,,17.153828,9.8260841,10,0,0,1
CAN,20,1992,,17.166101,9.8228846,10,0,0,1
CAN,20,1993,,17.177046,9.8346949,10,0,0,0
CAN,20,1994,,17.186659,9.8712826,10,0,0,1
CAN,20,1995,,17.194939,9.8900299,10,0,0,1
BHS,31,1964,.37593985,11.798104,9.2050228,,,,
BHS,31,1965,.43165466,11.842229,9.2600698,,,,
BHS,31,1966,.27586207,11.884489,9.3046474,,,,
BHS,31,1967,4.5033112,11.925035,9.355752,,,,
BHS,31,1968,.31847134,11.964001,9.397644,,,,
BHS,31,1969,.5487805,12.007622,9.440033,,,,
BHS,31,1970,.46783626,12.049418,9.3400812,,,,
BHS,31,1971,1.4367816,12.066811,9.3388233,,,,
BHS,31,1972,6.9662919,12.089539,9.2804956,,,,
BHS,31,1973,2.8176796,12.106253,9.336731,,,0,0
BHS,31,1974,3.2432432,12.128111,9.1314993,,,0,0
BHS,31,1975,3.5449736,12.149503,8.9499025,,,0,0
BHS,31,1976,3.1088083,12.170445,8.9795122,,,0,0
BHS,31,1977,3.1472082,12.190959,9.0465965,,,0,0
BHS,31,1978,6.4179106,12.211061,9.1590967,,,0,0
BHS,31,1979,6.7475729,12.235631,9.3667421,,,0,0
BHS,31,1980,10.190476,12.254863,9.4104414,,,0,0
BHS,31,1981,9.5327101,12.273731,9.2947712,,,0,0
BHS,31,1982,8.8127851,12.296827,9.3365164,,,0,0
BHS,31,1983,4.1964288,12.319402,9.3492804,,,0,0
BHS,31,1984,47.510918,12.341477,9.459733,,,0,0
BHS,31,1985,3.9655173,12.354492,9.4938793,,,0,0
BHS,31,1986,24.491526,12.371587,9.4945955,,,0,0
BHS,31,1987,3.375,12.388394,9.5071974,,,0,0
BHS,31,1988,17.183674,12.409014,9.5094118,,,0,0
BHS,31,1989,16.120001,12.429216,9.5119505,,,0,0
BHS,31,1990,9.8514462,12.452151,9.4999886,,,0,0
BHS,31,1991,8.2625484,12.464583,9.4601412,,,0,0
BHS,31,1992,7.1240811,12.477968,9.426589,,,0,0
BHS,31,1993,2.3970037,12.495004,9.4283791,,,0,0
BHS,31,1994,1.4705882,12.513557,9.4127884,,,0,0
