State,Beer,Obesity,Temp
Alabama,30.60000038,31,62.77000046
Alaska,32.40000153,24.79999924,32.13000107
Arizona,36.40000153,25.5,60.31000137
Arkansas,27.60000038,30.5,60.41999817
California,26,24.79999924,59.40000153
Colorado,33.40000153,18.60000038,45.15000153
Connecticut,23.20000076,20.60000038,49.04999924
Delaware,35.40000153,27,55.27000046
Florida,33.79999924,25.20000076,70.73000336
Georgia,29.5,27.20000076,63.50999832
Hawaii,32.70000076,22.29999924,71.61000061
Idaho,30.39999962,24.5,44.38999939
Illinois,31.29999924,26.5,51.74000168
Indiana,28.29999924,29.5,51.63999939
Iowa,34.40000153,27.89999962,47.81000137
Kansas,30,28.10000038,54.25
Kentucky,36.79999924,31.5,55.59000015
Louisiana,37.09999847,33,66.38999939
Maine,31.20000076,25.79999924,40.97000122
Maryland,26.10000038,26.20000076,54.22000122
Massachusetts,27.79999924,21.39999962,47.86000061
Michigan,29.29999924,29.60000038,44.40999985
Minnesota,31.29999924,24.60000038,41.15999985
Mississippi,35.09999847,34.40000153,63.34999847
Missouri,33.40000153,30,54.45000076
Montana,41.5,23.20000076,42.74000168
Nebraska,36.59999847,27.20000076,49.86999893
Nevada,44,25.79999924,49.86999893
New Hampshire,43.40000153,25.70000076,43.79999924
New Jersey,24.10000038,23.29999924,52.65000153
New Mexico,37.79999924,25.10000038,53.43999863
New York,23,24.20000076,45.25
North Carolina,30.20000076,29.29999924,59.00999832
North Dakota,41.70000076,27.89999962,40.43000031
Ohio,33.5,28.79999924,50.68000031
Oklahoma,27,31.39999962,59.54000092
Oregon,30.60000038,23,48.40999985
Pennsylvania,29.60000038,27.39999962,48.77000046
Rhode Island,28,24.60000038,50.06999969
South Carolina,37,29.39999962,62.41999817
South Dakota,39,29.60000038,45.13999939
Tennessee,30.20000076,32.29999924,57.56999969
Texas,37.40000153,28.70000076,64.83000183
Utah,19.5,23.5,48.63999939
Vermont,31.39999962,22.79999924,42.88000107
Virginia,29.29999924,25,55.11000061
Washington,27.89999962,26.39999962,48.25999832
West Virginia,31.29999924,31.10000038,51.72000122
Wisconsin,38.20000076,28.70000076,43.11999893
Wyoming,36.40000153,24.60000038,41.97999954
