country,ccode,year,exptorev,lnpop,lngnp,lnimports,lnexports,democracy
AUSTRIA,61,1955,1.11727,8.8499441,6.508769,-2.4224954,-2.6606896,10
AUSTRIA,61,1956,1.0834624,8.8512335,6.5482192,-2.3289289,-2.4662812,10
AUSTRIA,61,1957,1.0507753,8.8532372,6.5861716,-2.1821389,-2.3238087,10
AUSTRIA,61,1958,1.0742595,8.8566608,6.6227365,-2.2311952,-2.3881431,10
AUSTRIA,61,1959,1.1085916,8.8670044,6.658011,-2.1671805,-2.3351083,10
AUSTRIA,61,1960,1.0501204,8.8604994,6.6920838,-1.9547491,-2.1892564,10
AUSTRIA,61,1961,0.98333251,8.8660173,6.7417006,-1.9071703,-2.1185982,10
AUSTRIA,61,1962,0.99872822,8.8720665,6.8373327,-1.8630407,-2.0698874,10
AUSTRIA,61,1963,1.0423412,8.8779402,6.9911771,-1.7867719,-2.0204182,10
AUSTRIA,61,1964,1.0467761,8.8839178,7.0379062,-1.680397,-1.9337839,10
AUSTRIA,61,1965,1.0073822,8.8894463,7.1538339,-1.5601717,-1.8325815,10
AUSTRIA,61,1966,1.0147533,8.8942585,7.2320104,-1.4575756,-1.7814132,10
AUSTRIA,61,1967,1.0483873,8.8987751,7.2902927,-1.4653375,-1.709811,10
AUSTRIA,61,1968,1.0636355,8.9023199,7.5137091,-1.3878957,-1.614953,10
AUSTRIA,61,1969,1.0887109,8.9053087,7.700748,-1.2640767,-1.4221288,10
AUSTRIA,61,1970,1.0764896,8.9080181,7.8563194,-1.0359192,-1.252813,10
AUSTRIA,61,1971,1.0738667,8.9173107,7.9912539,-0.86964577,-1.149169,10
AUSTRIA,61,1972,1.0638888,8.9213238,8.1098261,-0.65085423,-0.94597703,10
AUSTRIA,61,1973,1.1000351,8.9253216,8.2160883,-0.33953688,-0.63771242,10
AUSTRIA,61,1974,1.0944875,8.9263849,8.3859453,-0.10280822,-0.3339355,10
AUSTRIA,61,1975,1.2450389,8.9257202,8.5310965,-0.062513888,-0.28515193,10
AUSTRIA,61,1976,1.2439854,8.9245234,8.6340866,0.14115228,-0.16181329,10
AUSTRIA,61,1977,1.1896384,8.9241238,8.7718353,0.37066656,-0.01938674,10
AUSTRIA,61,1978,1.1172056,8.9237242,8.8579416,0.47119042,0.19679955,10
AUSTRIA,61,1979,1.166087,8.9234581,9.0629997,0.70586592,0.4601427,10
AUSTRIA,61,1980,1.1518266,8.92665,9.2330799,0.89429051,0.55898702,10
AUSTRIA,61,1981,1.1377548,8.929965,9.231123,0.74398285,0.46001643,10
AUSTRIA,61,1982,1.123812,8.9307585,9.1891165,0.66793191,0.44737455,10
